model_name,architecture,data_source,checkpoint,base_channels,patch_h,patch_w,stride_y,stride_x,min_valid_ratio,mean,std,val_selected_threshold,best_test_threshold_diagnostic
attention_unet_mars_v1,attention_bn,mars,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_mars.pth,16,256,256,256,256,0.7,"0.550000,0.350000,0.250000","0.200000,0.150000,0.150000",0.55,0.55
attention_unet_mars_v2,attention_gn,mars,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_mars_v2.pth,32,256,256,128,128,0.7,"0.253318,0.174194,0.175665","0.228469,0.173787,0.179681",0.6,0.6
attention_unet_multiyear_v1,attention_bn,multiyear_raw,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_multiyear.pth,16,256,256,256,256,0.7,"0.550000,0.350000,0.250000","0.200000,0.150000,0.150000",0.5,0.5
attention_unet_multiyear_v2,attention_bn,multiyear_raw,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_multiyear_v2.pth,16,256,256,256,256,0.7,"0.550000,0.350000,0.250000","0.200000,0.150000,0.150000",0.7,0.65
cbam_unet_article_style,cbam,multiyear_cbam,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_cbam_unet_mdad_article_style.pth,16,668,688,334,334,0.5,"0.454880,0.339112,0.324565","0.161970,0.126247,0.154244",0.75,0.6
