model_name,threshold,accuracy,precision,recall,f1,iou,tn,fp,fn,tp,checkpoint_path
attention_unet_mars_v2,0.6,0.9215980644822253,0.3471879989241825,0.3456521057953872,0.3464183449701188,0.2094957633110102,52608356.0,2281591.0,2297121.0,1213429.0,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_mars_v2.pth
attention_unet_mars_v1,0.55,0.8907847958653506,0.2464740316611896,0.3642815846426944,0.2940159597715712,0.1723439132383873,13588049.0,1088359.0,621259.0,355996.0,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_mars.pth
cbam_unet_article_style,0.75,0.9467705269243352,0.1085224311367757,0.146919030535827,0.1248349398365622,0.0665727768189388,542063104.0,17927071.0,12671576.0,2182320.0,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_cbam_unet_mdad_article_style.pth
attention_unet_multiyear_v2,0.7,0.8964935784023729,0.0743435775631272,0.3142477676037328,0.1202409831009029,0.0639661708294201,202222051.0,20024145.0,3509479.0,1608228.0,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_multiyear_v2.pth
attention_unet_multiyear_v1,0.5,0.896275179618112,0.0700754562262387,0.2940566937497588,0.1131795498219767,0.0599842730695128,202275727.0,19970469.0,3612811.0,1504896.0,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\Modelos generados\best_attention_unet_multiyear.pth
